ssn,cc_num,first,last,gender,street,city,state,zip,latitude,longitude,city_pop,job,dob,acct_num,profile,age,setting,age_group
115-04-4507,4218196001337,Jonathan,Johnson,M,863 Lawrence Valleys,Las Vegas,NV,89110,36.173,-115.0669,1417793,Accounting technician,1952-10-03,888022315787,adults_50up_male_urban.json,70,urban,Over 55
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Glendale Heights,IL,60139,41.9205,-88.0793,34381,Professor Emeritus,1975-06-07,917558277935,adults_2550_male_urban.json,47,urban,46-55
167-48-5821,4192832764832,Michael,Cameron,M,05641 Robin Port,Waco,TX,76710,31.535,-97.1899,148766,International aid/development worker,1937-05-30,718172762479,adults_50up_male_urban.json,85,urban,Over 55
406-83-7518,4238849696532874,Brandon,Williams,M,26916 Carlson Mountain,Mesa,AZ,85209,33.3782,-111.6406,478404,Seismic interpreter,1943-12-26,947268892251,adults_50up_male_urban.json,78,urban,Over 55
697-93-1877,4514627048281480,Lee,Hernandez,M,809 Burns Creek,Dayton,TN,37321,35.5002,-85.0135,19113,Medical laboratory scientific officer,1995-05-22,888335239225,adults_2550_male_urban.json,27,urban,26-35
246-08-3947,3517182278248964,Tracey,Hickman,F,465 Lam Mission,Chattanooga,TN,37411,35.0271,-85.2356,198659,Community arts worker,1987-06-18,245877882397,adults_2550_female_urban.json,35,urban,26-35
347-03-9639,213193010310510,Kayla,Ramirez,F,82997 Kristen Valley Suite 311,Ripley,TN,38063,35.7527,-89.535,17403,Plant breeder/geneticist,1954-03-06,465378164447,adults_50up_female_urban.json,68,urban,Over 55
479-94-0888,4065133387262473,Danielle,Leblanc,F,108 Tanya Terrace Apt. 267,Killeen,TX,76544,31.1282,-97.7469,164094,Quarry manager,1992-12-27,950105810049,adults_2550_female_urban.json,29,urban,26-35
061-22-6210,630447468723,Colton,Robinson,M,805 Brendan Neck,North Hollywood,CA,91605,34.2057,-118.4001,155954,Retail buyer,1988-08-23,940251608167,adults_2550_male_urban.json,34,urban,26-35
162-08-8321,2222913619399092,Bradley,Sandoval,M,3534 Anderson Rue Suite 751,Goleta,CA,93117,34.4296,-119.8612,53217,Acupuncturist,1968-01-26,684868121383,adults_50up_male_urban.json,54,urban,46-55
103-10-8809,4251354278496,Victoria,Roman,F,841 Joseph Coves,Tampa,FL,33647,28.1147,-82.3678,717255,Surgeon,1968-02-26,297020387114,adults_50up_female_urban.json,54,urban,46-55
620-27-5618,4874016400529,Mandy,Green,F,680 Charles Spurs Apt. 805,Charlottesville,VA,22901,38.0936,-78.5611,112588,Television floor manager,1945-08-02,161286867170,adults_50up_female_urban.json,77,urban,Over 55
131-06-5051,345331586923222,Sierra,Johnson,F,3421 Brennan Walks Suite 337,Astoria,NY,11105,40.7763,-73.911,148476,Maintenance engineer,1958-08-16,903253916954,adults_50up_female_urban.json,64,urban,Over 55
229-04-3165,6541458685014295,Victor,Baker,M,655 Obrien Pass,Forestdale,MA,2644,41.6827,-70.5143,3955,Commercial art gallery manager,2003-09-29,989496879843,young_adults_male_urban.json,19,urban,Under 25
195-33-0728,3508835615951480,Ellen,Ortiz,F,482 Robert Light Apt. 994,Flint,MI,48506,43.0653,-83.631,162969,"Optician, dispensing",1974-08-14,917181406434,adults_2550_female_urban.json,48,urban,46-55
312-37-3444,6577738721489511,Sabrina,Potter,F,32003 Carr Trafficway Apt. 769,Oakland,CA,94606,37.7956,-122.2429,381459,"Engineer, broadcasting (operations)",1982-01-06,767589450881,adults_2550_female_urban.json,40,urban,36-45
507-52-3998,4163287083172781,Victoria,Larson,F,868 Merritt Summit Suite 743,Kissimmee,FL,34746,28.268,-81.4675,228365,Health and safety inspector,1976-01-23,857987636625,adults_2550_female_urban.json,46,urban,46-55
497-81-3920,4143455812236231660,Erin,Owens,F,66909 Woods Knoll,Carmichael,CA,95608,38.6284,-121.3287,59418,Hydrogeologist,1986-09-26,428437913341,adults_2550_female_urban.json,36,urban,36-45
552-96-8948,3573467065627293,Kimberly,Meadows,F,62720 Gray Forest,Saint Petersburg,FL,33707,27.7549,-82.7208,341043,"Programme researcher, broadcasting/film/video",1957-04-04,370770979513,adults_50up_female_urban.json,65,urban,Over 55
285-97-6907,4708053100330923275,Maureen,Elliott,F,4529 Kimberly Estates,Decatur,TN,37322,35.5072,-84.8081,8239,Insurance risk surveyor,1989-11-24,636119440405,adults_2550_female_urban.json,33,urban,26-35
320-74-6150,6011193149190586,Jessica,Wood,F,67165 Zimmerman Mews Apt. 849,Clarksville,IA,50619,42.8041,-92.6588,2410,Solicitor,1944-11-15,531608037091,adults_50up_female_rural.json,78,rural,Over 55
447-94-9708,4314737996507527356,Rebecca,Peterson,F,083 John Lodge Suite 837,Windsor,CT,6095,41.8561,-72.6639,29079,Recycling officer,1929-10-26,869508288813,adults_50up_female_urban.json,93,urban,Over 55
096-38-3631,6011495788568554,Michael,Nelson,M,13518 James Streets Suite 498,Sioux City,IA,51103,42.5068,-96.4295,85884,"Therapist, speech and language",1988-08-02,915259790398,adults_2550_male_urban.json,34,urban,26-35
304-30-5913,4082400842710944,John,Alexander,M,47116 Jones Roads,Willow Wood,OH,45696,38.594,-82.453,1438,Astronomer,1969-08-09,163860419795,adults_50up_male_rural.json,53,rural,46-55
312-11-4067,2706999386774968,Eric,Oliver,M,34123 Andrea Estate,Leesville,LA,71446,31.1256,-93.1736,34664,"Accountant, chartered",1979-02-24,495675808653,adults_2550_male_urban.json,43,urban,36-45
482-38-0535,4471349361831,Matthew,Kerr,M,02499 Gonzales Mountain,Mc Connellsburg,PA,17233,39.9443,-77.9901,5047,Industrial buyer,1988-03-15,445386964769,adults_2550_male_urban.json,34,urban,26-35
513-70-8091,30190659401395,Laurie,Smith,F,027 Moon Falls Suite 717,San Jose,CA,95110,37.3391,-121.9016,973849,Magazine features editor,1935-04-06,366826061886,adults_50up_female_urban.json,87,urban,Over 55
